disease_nane,number_of_patiants
Z43.6 Attention to other artificial openings of urinary tract,1
Z45.2 Adjustment and management of vascular access device,1
Z49.2 Other dialysis,1
Z94.0 Kidney transplant status,1
Z99.2 Dependence on renal dialysis,1
B37.2 Candidiasis of skin and nail,1
B95.4 Other streptococcus as the cause of diseases classified to other chapters,1
D17.2 Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,1
E87.7 Fluid overload,1
"H91.9 Hearing loss, unspecified",1
I11.0 Hypertensive heart disease with (congestive) heart failure,1
I11.9 Hypertensive heart disease without (congestive) heart failure,1
I27.0 Primary pulmonary hypertension,1
I42.2 Other hypertrophic cardiomyopathy,1
"L72.9 Follicular cyst of skin and subcutaneous tissue, unspecified",1
"L97 Ulcer of lower limb, not elsewhere classified",1
L98.8 Other specified disorders of skin and subcutaneous tissue,1
"M65.97 Synovitis and tenosynovitis, unspecified (Ankle and foot)",1
M81.68 Localized osteoporosis [Lequesne] (Other),1
"M81.98 Osteoporosis, unspecified (Other)",1
"R03.0 Elevated blood-pressure reading, without diagnosis of hypertension",1
R23.3 Spontaneous ecchymoses,1
"S01.9 Open wound of head, part unspecified",1
S20.0 Contusion of breast,1
S42.00 Fracture of clavicle (closed),1
S51.0 Open wound of elbow,1
S72.10 Pertrochanteric fracture (closed),1
S80.0 Contusion of knee,1
S83.6 Sprain and strain of other and unspecified parts of knee,1
"S90.9 Superficial injury of ankle and foot, unspecified",1
W01.0 Home,1
W20.0 Home,1
"Y51.7 Beta-Adrenoreceptor antagonists, not elsewhere classified",1
Y84.0 Cardiac catheterisation,1
Z45.0 Adjustment and management of cardiac pacemaker,1
Z71.1 Person with feared complaint in whom no diagnosis is made,1
Z95.0 Presence of cardiac pacemaker,1
"A08.4 Viral intestinal infection, unspecified",1
E61.1 Iron deficiency,1
M43.1 Spondylolisthesis,1
R45.0 Nervousness,1
Z87.3 Personal history of diseases of the musculoskeletal system and connective tissue,1
D13.1 Stomach,1
D22.3 Melanocytic naevi of other and unspecified parts of face,1
G51.0 Bell's palsy,1
"I69.4 Sequelae of stroke, not specified as haemorrhage or infarction",1
"K63.9 Disease of intestine, unspecified",1
"L02.2 Cutaneous abscess, furuncle and carbuncle of trunk",1
R20.8 Other and unspecified disturbances of skin sensation,1
"F31.9 Bipolar affective disorder, unspecified",1
"H83.9 Disease of inner ear, unspecified",1
I42.0 Dilated cardiomyopathy,1
I67.6 Nonpyogenic thrombosis of intracranial venous system,1
J81 Pulmonary oedema,1
N18.8 Other chronic renal failure,1
R06.8 Other and unspecified abnormalities of breathing,1
R44.1 Visual hallucinations,1
R54 Senility,1
"W06.2 School, other institution and public administrative area",1
I95.0 Idiopathic hypotension,1
M71.16 Other infective bursitis (Lower leg),1
O41.8 Other specified disorders of amniotic fluid and membranes,1
O62.3 Precipitate labour,1
O75.6 Delayed delivery after spontaneous or unspecified rupture of membranes,1
T93.0 Sequelae of open wound of lower limb,1
I84.1 Internal haemorrhoids with other complications,1
"K02.9 Dental caries, unspecified",1
L91.8 Other hypertrophic disorders of skin,1
Z71.8 Other specified counselling,1
"S81.9 Open wound of lower leg, part unspecified",1
X16.0 Home,1
D51.0 Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,1
E22.2 Syndrome of inappropriate secretion of antidiuretic hormone,1
E53.8 Deficiency of other specified B group vitamins,1
I60.6 Subarachnoid haemorrhage from other intracranial arteries,1
C44.5 Skin of trunk,1
L72.0 Epidermal cyst,1
M85.28 Hyperostosis of skull-Other,1
G99.2 Myelopathy in diseases classified elsewhere,1
"M19.90 Arthrosis, unspecified (Multiple sites)",1
M25.78 Osteophyte (Other),1
M54.16 Radiculopathy (Lumbar region),1
"A49.0 Staphylococcal infection, unspecified",1
B98.0 Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters,1
D03.3 Melanoma in situ of other and unspecified parts of face,1
F10.1 Harmful use,1
"G91.3 Posttraumatic hydrocephalus, unspecified",1
J15.2 Pneumonia due to staphylococcus,1
"J96.99 Respiratory failure, unspecified; Type unspecified",1
K31.7 Polyp of stomach and duodenum,1
O47.1 False labour at or after 37 completed weeks of gestation,1
Y84.8 Other medical procedures,1
Z03.2 Observation for suspected mental and behavioural disorders,1
D24 Benign neoplasm of breast,1
I45.6 Preexcitation syndrome,1
"M54.90 Dorsalgia, unspecified (Multiple sites in spine)",1
J38.6 Stenosis of larynx,1
G57.8 Other mononeuropathies of lower limb,1
H40.2 Primary angle-closure glaucoma,1
"I44.0 Atrioventricular block, first degree",1
H81.1 Benign paroxysmal vertigo,1
J15.8 Other bacterial pneumonia,1
J30.1 Allergic rhinitis due to pollen,1
J45.0 Predominantly allergic asthma,1
K11.2 Sialoadenitis,1
K11.5 Sialolithiasis,1
K22.7 Barrett's oesophagus,1
M47.80 Other spondylosis (Multiple sites in spine),1
M48.02 Spinal stenosis (Cervical region),1
O20.0 Threatened abortion,1
R84.5 Abnormal microbiological findings,1
S22.00 Fracture of thoracic vertebra (closed),1
T17.5 Foreign body in bronchus,1
"T81.3 Disruption of operation wound, not elsewhere classified",1
W80.9 Unspecified place,1
Z50.5 Speech therapy,1
C50.4 Upper-outer quadrant of breast,1
G91.2 Normal-pressure hydrocephalus,1
"I51.9 Heart disease, unspecified",1
"J68.0 Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours",1
"J98.0 Diseases of bronchus, not elsewhere classified",1
N63 Unspecified lump in breast,1
"Z13.9 Special screening examination, unspecified",1
Z51.0 Radiotherapy session,1
"E55.9 Vitamin D deficiency, unspecified",1
F40.2 Specific (isolated) phobias,1
H25.1 Senile nuclear cataract,1
Q79.6 Ehlers-Danlos syndrome,1
R41.3 Other amnesia,1
S29.9 Unspecified injury of thorax,1
"S30.8 Other superficial injuries of abdomen, lower back and pelvis",1
V49.9 Car occupant [any] injured in unspecified traffic accident,1
D72.8 Other specified disorders of white blood cells,1
D86.0 Sarcoidosis of lung,1
J67.9 Hypersensitivity pneumonitis due to unspecified organic dust,1
J84.0 Alveolar and parietoalveolar conditions,1
"J84.9 Interstitial pulmonary disease, unspecified",1
J94.1 Fibrothorax,1
J98.2 Interstitial emphysema,1
K76.6 Portal hypertension,1
"O03.4 Incomplete, without complication",1
O23.5 Infections of the genital tract in pregnancy,1
"O42.9 Premature rupture of membranes, unspecified",1
O68.0 Labour and delivery complicated by foetal heart rate anomaly,1
O70.1 Second degree perineal laceration during delivery,1
O72.0 Third-stage haemorrhage,1
H53.4 Visual field defects,1
"I61.9 Intracerebral haemorrhage, unspecified",1
M95.2 Other acquired deformity of head,1
R03.1 Nonspecific low blood-pressure reading,1
R47.0 Dysphasia and aphasia,1
"T82.7 Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts",1
"T98.3 Sequelae of complications of surgical and medical care, not elsewhere classified",1
"Z50.9 Care involving use of rehabilitation procedure, unspecified",1
Z96.7 Presence of other bone and tendon implants,1
E28.2 Polycystic ovarian syndrome,1
K45.8 Other specified abdominal hernia without obstruction or gangrene,1
Z42.2 Follow-up care involving plastic surgery of other parts of trunk,1
"Z86.3 Personal history of endocrine, nutritional and metabolic diseases",1
C71.1 Frontal lobe,1
"C71.9 Brain, unspecified",1
G83.8 Other specified paralytic syndromes,1
Z92.8 Personal history of other medical treatment,1
D12.3 Transverse colon,1
D12.4 Descending colon,1
D47.2 Monoclonal gammopathy,1
D75.2 Essential thrombocytosis,1
H43.8 Other disorders of vitreous body,1
"J96.90 Respiratory failure, unspecified; Type I [hypoxic]",1
K80.0 Calculus of gallbladder with acute cholecystitis,1
K82.3 Fistula of gallbladder,1
"L92.9 Granulomatous disorder of skin and subcutaneous tissue, unspecified",1
"T85.5 Mechanical complication of gastro-intestinal prosthetic devices, implants and grafts",1
Z30.5 Surveillance of (intra-uterine) contraceptive device,1
Z86.5 Personal history of other mental and behavioural disorders,1
Z93.4 Other artificial openings of gastro-intestinal tract status,1
K07.6 Temporomandibular joint disorders,1
"M13.96 Arthritis, unspecified (Lower leg)",1
M23.20 Derangement of meniscus due to old tear or injury (Multiple sites),1
M54.57 Low back pain (Lumbosacral region),1
"M65.98 Synovitis and tenosynovitis, unspecified (Other)",1
M71.2 Synovial cyst of popliteal space [Baker],1
M75.1 Rotator cuff syndrome,1
M75.4 Impingement syndrome of shoulder,1
M75.5 Bursitis of shoulder,1
M76.7 Peroneal tendinitis,1
S52.70 Multiple fractures of forearm (closed),1
S72.40 Fracture of lower end of femur (closed),1
S82.00 Fracture of patella (closed),1
S82.01 Fracture of patella (open),1
V43.5 Driver injured in traffic accident,1
Z47.0 Follow-up care involving removal of fracture plate and other internal fixation device,1
Z47.8 Other specified orthopaedic follow-up care,1
Z82.0 Family history of epilepsy and other diseases of the nervous system,1
"A00.9 Cholera, unspecified",1
J98.8 Other specified respiratory disorders,1
M47.82 Other spondylosis (Cervical region),1
T90.5 Sequelae of intracranial injury,1
W19.0 Home,1
"I60.7 Subarachnoid haemorrhage from intracranial artery, unspecified",1
I72.4 Aneurysm of artery of lower extremity,1
S42.20 Fracture of upper end of humerus (closed),1
